verse	position	greek	strong	transliteration	gloss	inflected
5:46	2	ἐὰν	G1437	ean	If	If
5:46	3	ἀγαπήσητε	G25	agapēsēte	you love	you love
5:46	4	τοὺς	G3588	tous	those	those
5:46	5	ἀγαπῶντας	G25	agapōntas	who love	who love
5:46	6	ὑμᾶς	G4771	hymas	you	you
5:46	7	τίνα	G5101	tina	what	what
5:46	8	μισθὸν	G3408	misthon	reward	reward
5:46	9	ἔχετε	G2192	echete	will you get	will you get
5:46	10	οὐχὶ	G3780	ouchi	Do not	Do not
5:46	11	καὶ	G2532	kai	even	even
5:46	12	οἱ	G3588	hoi	-	-
5:46	13	τελῶναι	G5057	telōnai	tax collectors	tax collectors
5:46	14	ποιοῦσιν	G4160	poiousin	do	do
5:46	15	τὸ	G3588	to	the	the
5:46	16	αὐτὸ	G846	auto	same	same
5:47	1	καὶ	G2532	kai	And	And
5:47	2	ἐὰν	G1437	ean	if	if
5:47	3	ἀσπάσησθε	G782	aspasēsthe	you greet	you greet
5:47	4	μόνον	G3440	monon	only	only
5:47	5	τοὺς	G3588	tous	-	-
5:47	6	ὑμῶν	G4771	hymōn	your	your
5:47	7	ἀδελφοὺς	G80	adelphous	brothers	brothers
5:47	8	τί	G5101	ti	what	what
5:47	9	ποιεῖτε	G4160	poieite	are you doing	are you doing
5:47	10	περισσὸν	G4053	perisson	more than others	more than others
5:47	11	οὐχὶ	G3780	ouchi	Do not	Do not
5:47	12	καὶ	G2532	kai	even	even
5:47	13	οἱ	G3588	hoi	-	-
5:47	14	ἐθνικοὶ	G1482	ethnikoi	Gentiles	Gentiles
5:47	15	ποιοῦσιν	G4160	poiousin	do	do
5:47	16	τὸ	G3588	to	the	the
5:47	17	αὐτὸ	G846	auto	same	same
5:48	1	Ἔσεσθε	G1510	Esesthe	Be	Be
5:48	2	ὑμεῖς	G4771	hymeis	-	-
5:48	3	τέλειοι	G5046	teleioi	perfect	perfect
5:48	4	οὖν	G3767	oun	therefore	therefore
5:48	5	ὡς	G5613	hōs	as	as
5:48	6	ὁ	G3588	ho	-	-
5:48	7	ὑμῶν	G4771	hymōn	your	your
5:48	8	ὁ	G3588	ho	-	-
5:48	9	οὐράνιος	G3770	ouranios	heavenly	heavenly
5:48	10	Πατὴρ	G3962	Patēr	Father	Father
5:48	11	ἐστιν	G1510	estin	is	is
5:48	12	τέλειός	G5046	teleios	perfect	perfect
6:1	1	Προσέχετε	G4337	Prosechete	Be careful	Be careful
6:1	2	δὲ	G1161	de	-	-
6:1	3	τὴν	G3588	tēn	-	-
6:1	4	μὴ	G3361	mē	not	not
6:1	5	ποιεῖν	G4160	poiein	to perform	to perform
6:1	6	ὑμῶν	G4771	hymōn	your	your
6:1	7	δικαιοσύνην	G1343	dikaiosynēn	righteous acts	righteous acts
6:1	8	ἔμπροσθεν	G1715	emprosthen	before	before
6:1	9	τῶν	G3588	tōn	-	-
6:1	10	ἀνθρώπων	G444	anthrōpōn	men	men
6:1	11	πρὸς	G4314	pros	vvv	vvv
6:1	12	τὸ	G3588	to	vvv	vvv
6:1	13	θεαθῆναι	G2300	theathēnai	to be seen	to be seen
6:1	14	αὐτοῖς	G846	autois	by them	by them
6:1	15	εἰ	G1487	ei	If	If
6:1	16	δὲ	G1161	de	[you do]	[you do]
6:1	17	μή¦γε	G1490	mē¦ge	. . .	. . .
6:1	18	ἔχετε	G2192	echete	you will have	you will have
6:1	19	οὐκ	G3756	ouk	no	no
6:1	20	μισθὸν	G3408	misthon	reward	reward
6:1	21	παρὰ	G3844	para	from	from
6:1	22	τῷ	G3588	tō	-	-
6:1	23	ὑμῶν	G4771	hymōn	your	your
6:1	24	Πατρὶ	G3962	Patri	Father	Father
6:1	25	τῷ	G3588	tō	-	-
6:1	26	ἐν	G1722	en	in	in
6:1	27	τοῖς	G3588	tois	-	-
6:1	28	οὐρανοῖς	G3772	ouranois	heaven	heaven
6:2	1	οὖν	G3767	oun	So	So
6:2	2	Ὅταν	G3752	Hotan	when	when
6:2	3	ποιῇς	G4160	poiēs	you give to the needy	you give to the needy
6:2	4	ἐλεημοσύνην	G1654	eleēmosynēn	. . .	. . .
6:2	5	σαλπίσῃς	G4537	salpisēs	do not sound a trumpet	do not sound a trumpet
6:2	6	μὴ	G3361	mē	. . .	. . .
6:2	7	ἔμπροσθέν	G1715	emprosthen	before	before
6:2	8	σου	G4771	sou	you	you
6:2	9	ὥσπερ	G5618	hōsper	as	as
6:2	10	οἱ	G3588	hoi	the	the
6:2	11	ὑποκριταὶ	G5273	hypokritai	hypocrites	hypocrites
6:2	12	ποιοῦσιν	G4160	poiousin	do	do
6:2	13	ἐν	G1722	en	in	in
6:2	14	ταῖς	G3588	tais	the	the
6:2	15	συναγωγαῖς	G4864	synagōgais	synagogues	synagogues
6:2	16	καὶ	G2532	kai	and	and
6:2	17	ἐν	G1722	en	on	on
6:2	18	ταῖς	G3588	tais	the	the
6:2	19	ῥύμαις	G4505	rhymais	streets	streets
6:2	20	ὅπως	G3704	hopōs	to	to
6:2	21	δοξασθῶσιν	G1392	doxasthōsin	be honored	be honored
6:2	22	ὑπὸ	G5259	hypo	by	by
6:2	23	τῶν	G3588	tōn	-	-
6:2	24	ἀνθρώπων	G444	anthrōpōn	men	men
6:2	25	ἀμὴν	G281	amēn	Truly	Truly
6:2	26	λέγω	G3004	legō	I tell	I tell
6:2	27	ὑμῖν	G4771	hymin	you	you
6:2	28	ἀπέχουσιν	G568	apechousin	they already have	they already have
6:2	29	τὸν	G3588	ton	-	-
6:2	30	αὐτῶν	G846	autōn	their	their
6:2	31	μισθὸν	G3408	misthon	full reward	full reward
6:3	1	δὲ	G1161	de	But [when]	But [when]
6:3	2	σοῦ	G4771	sou	you	you
6:3	3	ποιοῦντος	G4160	poiountos	give to the needy	give to the needy
6:3	4	ἐλεημοσύνην	G1654	eleēmosynēn	. . .	. . .
6:3	5	μὴ	G3361	mē	{do} not {let}	{do} not {let}
6:3	6	ἡ	G3588	hē	-	-
6:3	7	σου	G4771	sou	your	your
6:3	8	ἀριστερά	G710	aristera	left [hand]	left [hand]
6:3	9	γνώτω	G1097	gnōtō	know	know
6:3	10	τί	G5101	ti	what	what
6:3	11	ἡ	G3588	hē	-	-
6:3	12	σου	G4771	sou	your	your
6:3	13	δεξιά	G1188	dexia	right hand	right hand
6:3	14	ποιεῖ	G4160	poiei	is doing	is doing
6:4	1	ὅπως	G3704	hopōs	so that	so that
6:4	2	σου	G4771	sou	your	your
6:4	3	ἡ	G3588	hē	-	-
6:4	4	ἐλεημοσύνη	G1654	eleēmosynē	giving	giving
6:4	5	ᾖ	G1510	ē	may be	may be
6:4	6	ἐν	G1722	en	in	in
6:4	7	τῷ	G3588	tō	-	-
6:4	8	κρυπτῷ	G2927	kryptō	secret	secret
6:4	9	καὶ	G2532	kai	And	And
6:4	10	ὁ	G3588	ho	-	-
6:4	11	σου	G4771	sou	your	your
6:4	12	Πατήρ	G3962	Patēr	Father	Father
6:4	13	ὁ	G3588	ho	-	-
6:4	14	βλέπων	G991	blepōn	who sees	who sees
6:4	15	ἐν	G1722	en	vvv	vvv
6:4	16	τῷ	G3588	tō	what is done	what is done
6:4	17	κρυπτῷ	G2927	kryptō	in secret	in secret
6:4	18	ἀποδώσει	G591	apodōsei	will reward	will reward
6:4	19	σοι	G4771	soi	you	you
6:5	1	Καὶ	G2532	Kai	And	And
6:5	2	ὅταν	G3752	hotan	when	when
6:5	3	προσεύχησθε	G4336	proseuchēsthe	you pray	you pray
6:5	4	ἔσεσθε	G1510	esesthe	do not be	do not be
6:5	5	οὐκ	G3756	ouk	. . .	. . .
6:5	6	ὡς	G5613	hōs	like	like
6:5	7	οἱ	G3588	hoi	the	the
6:5	8	ὑποκριταί	G5273	hypokritai	hypocrites	hypocrites
6:5	9	ὅτι	G3754	hoti	For	For
6:5	10	φιλοῦσιν	G5368	philousin	they love	they love
6:5	11	προσεύχεσθαι	G4336	proseuchesthai	to pray	to pray
6:5	12	ἑστῶτες	G2476	hestōtes	standing	standing
6:5	13	ἐν	G1722	en	in	in
6:5	14	ταῖς	G3588	tais	the	the
6:5	15	συναγωγαῖς	G4864	synagōgais	synagogues	synagogues
6:5	16	καὶ	G2532	kai	and	and
6:5	17	ἐν	G1722	en	on	on
6:5	18	ταῖς	G3588	tais	the	the
6:5	19	τῶν	G3588	tōn	-	-
6:5	20	πλατειῶν	G4113	plateiōn	street	street
6:5	21	γωνίαις	G1137	gōniais	corners	corners
6:5	22	ὅπως	G3704	hopōs	vvv	vvv
6:5	23	φανῶσιν	G5316	phanōsin	to be seen	to be seen
6:5	24	τοῖς	G3588	tois	-	-
6:5	25	ἀνθρώποις	G444	anthrōpois	by men	by men
6:5	26	ἀμὴν	G281	amēn	Truly	Truly
6:5	27	λέγω	G3004	legō	I tell	I tell
6:5	28	ὑμῖν	G4771	hymin	you	you
6:5	29	ἀπέχουσιν	G568	apechousin	they already have	they already have
6:5	30	τὸν	G3588	ton	-	-
6:5	31	αὐτῶν	G846	autōn	their	their
6:5	32	μισθὸν	G3408	misthon	full reward	full reward
6:6	1	δὲ	G1161	de	But	But
6:6	2	σὺ	G4771	sy	-	-
6:6	3	ὅταν	G3752	hotan	when	when
6:6	4	προσεύχῃ	G4336	proseuchē	you pray	you pray
6:6	5	εἴσελθε	G1525	eiselthe	go	go
6:6	6	εἰς	G1519	eis	into	into
6:6	7	τὸ	G3588	to	-	-
6:6	8	σου	G4771	sou	your	your
6:6	9	ταμεῖόν	G5009	tameion	inner room	inner room
6:6	10	καὶ	G2532	kai	-	-
6:6	11	κλείσας	G2808	kleisas	shut	shut
6:6	12	τὴν	G3588	tēn	-	-
6:6	13	σου	G4771	sou	your	your
6:6	14	θύραν	G2374	thyran	door	door
6:6	15	πρόσευξαι	G4336	proseuxai	[and] pray	[and] pray
6:6	16	τῷ	G3588	tō	to	to
6:6	17	σου	G4771	sou	your	your
6:6	18	Πατρί	G3962	Patri	Father	Father
6:6	19	τῷ	G3588	tō	who [is]	who [is]
6:6	20	ἐν	G1722	en	vvv	vvv
6:6	21	τῷ	G3588	tō	vvv	vvv
6:6	22	κρυπτῷ	G2927	kryptō	unseen	unseen
6:6	23	καὶ	G2532	kai	And	And
6:6	24	ὁ	G3588	ho	-	-
6:6	25	σου	G4771	sou	your	your
6:6	26	Πατήρ	G3962	Patēr	Father	Father
6:6	27	ὁ	G3588	ho	who	who
6:6	28	βλέπων	G991	blepōn	sees	sees
6:6	29	ἐν	G1722	en	vvv	vvv
6:6	30	τῷ	G3588	tō	what is done	what is done
6:6	31	κρυπτῷ	G2927	kryptō	in secret	in secret
6:6	32	ἀποδώσει	G591	apodōsei	will reward	will reward
6:6	33	σοι	G4771	soi	you	you
6:7	1	δὲ	G1161	de	And	And
6:7	2	Προσευχόμενοι	G4336	Proseuchomenoi	[when] you pray	[when] you pray
6:7	3	βατταλογήσητε	G945	battalogēsēte	do not babble on	do not babble on
6:7	4	μὴ	G3361	mē	. . .	. . .
6:7	5	ὥσπερ	G5618	hōsper	like	like
6:7	6	οἱ	G3588	hoi	-	-
6:7	7	ἐθνικοί	G1482	ethnikoi	pagans	pagans
6:7	8	γὰρ	G1063	gar	for	for
6:7	9	δοκοῦσιν	G1380	dokousin	they think	they think
6:7	10	ὅτι	G3754	hoti	that	that
6:7	11	ἐν	G1722	en	by	by
6:7	12	τῇ	G3588	tē	-	-
6:7	13	αὐτῶν	G846	autōn	their	their
6:7	14	πολυλογίᾳ	G4180	polylogia	many words	many words
6:7	15	εἰσακουσθήσονται	G1522	eisakousthēsontai	they will be heard	they will be heard
6:8	1	οὖν	G3767	oun	-	-
6:8	2	μὴ	G3361	mē	[Do] not	[Do] not
6:8	3	ὁμοιωθῆτε	G3666	homoiōthēte	be like	be like
6:8	4	αὐτοῖς	G846	autois	them	them
6:8	5	γὰρ	G1063	gar	for	for
6:8	6	ὁ	G3588	ho	vvv	vvv
6:8	7	ὑμῶν	G4771	hymōn	your	your
6:8	8	Πατὴρ	G3962	Patēr	Father	Father
6:8	9	οἶδεν	G1492	oiden	knows	knows
6:8	10	ὧν	G3739	hōn	what	what
6:8	11	ἔχετε	G2192	echete	you	you
6:8	12	χρείαν	G5532	chreian	need	need
6:8	13	πρὸ	G4253	pro	before	before
6:8	14	τοῦ	G3588	tou	-	-
6:8	15	ὑμᾶς	G4771	hymas	you	you
6:8	16	αἰτῆσαι	G154	aitēsai	ask	ask
6:8	17	αὐτόν	G846	auton	Him	Him
6:9	1	οὖν	G3767	oun	So then	So then
6:9	2	Οὕτως	G3779	Houtōs	this is how	this is how
6:9	3	ὑμεῖς	G4771	hymeis	you	you
6:9	4	προσεύχεσθε	G4336	proseuchesthe	should pray	should pray
6:9	5	ἡμῶν	G1473	hēmōn	Our	Our
6:9	6	Πάτερ	G3962	Pater	Father	Father
6:9	7	ὁ	G3588	ho	-	-
6:9	8	ἐν	G1722	en	in	in
6:9	9	τοῖς	G3588	tois	-	-
6:9	10	οὐρανοῖς	G3772	ouranois	heaven	heaven
6:9	11	Ἁγιασθήτω	G37	Hagiasthētō	hallowed be	hallowed be
6:9	12	τὸ	G3588	to	-	-
6:9	13	σου	G4771	sou	Your	Your
6:9	14	ὄνομά	G3686	onoma	name	name
6:10	1	ἡ	G3588	hē	-	-
6:10	2	σου	G4771	sou	Your	Your
6:10	3	βασιλεία	G932	basileia	kingdom	kingdom
6:10	4	Ἐλθέτω	G2064	Elthetō	come	come
6:10	5	τὸ	G3588	to	-	-
6:10	6	σου	G4771	sou	Your	Your
6:10	7	θέλημά	G2307	thelēma	will	will
6:10	8	Γενηθήτω	G1096	Genēthētō	be done	be done
6:10	9	καὶ	G2532	kai	-	-
6:10	10	ἐπὶ	G1909	epi	on	on
6:10	11	γῆς	G1093	gēs	earth	earth
6:10	12	Ὡς	G5613	Hōs	as [it is]	as [it is]
6:10	13	ἐν	G1722	en	in	in
6:10	14	οὐρανῷ	G3772	ouranō	heaven	heaven
6:11	1	δὸς	G1325	dos	Give	Give
6:11	2	ἡμῖν	G1473	hēmin	us	us
6:11	3	σήμερον	G4594	sēmeron	this day	this day
6:11	4	Τὸν	G3588	Ton	-	-
6:11	5	ἡμῶν	G1473	hēmōn	our	our
6:11	6	τὸν	G3588	ton	-	-
6:11	7	ἐπιούσιον	G1967	epiousion	daily	daily
6:11	8	ἄρτον	G740	arton	bread	bread
6:12	1	Καὶ	G2532	Kai	And	And
6:12	2	ἄφες	G863	aphes	forgive	forgive
6:12	3	ἡμῖν	G1473	hēmin	us	us
6:12	4	τὰ	G3588	ta	-	-
6:12	5	ἡμῶν	G1473	hēmōn	our	our
6:12	6	ὀφειλήματα	G3783	opheilēmata	debts	debts
6:12	7	Ὡς	G5613	Hōs	as	as
6:12	8	ἡμεῖς	G1473	hēmeis	we	we
6:12	9	καὶ	G2532	kai	also	also
6:12	10	ἀφήκαμεν	G863	aphēkamen	have forgiven	have forgiven
6:12	11	τοῖς	G3588	tois	-	-
6:12	12	ἡμῶν	G1473	hēmōn	our	our
6:12	13	ὀφειλέταις	G3781	opheiletais	debtors	debtors
6:13	1	Καὶ	G2532	Kai	And	And
6:13	2	εἰσενέγκῃς	G1533	eisenenkēs	lead	lead
6:13	3	ἡμᾶς	G1473	hēmas	us	us
6:13	4	μὴ	G3361	mē	not	not
6:13	5	εἰς	G1519	eis	into	into
6:13	6	πειρασμόν	G3986	peirasmon	temptation	temptation
6:13	7	Ἀλλὰ	G235	Alla	but	but
6:13	8	ῥῦσαι	G4506	rhysai	deliver	deliver
6:13	9	ἡμᾶς	G1473	hēmas	us	us
6:13	10	ἀπὸ	G575	apo	from	from
6:13	11	τοῦ	G3588	tou	the	the
6:13	12	πονηροῦ	G4190	ponērou	evil [one]	evil [one]
6:14	1	γὰρ	G1063	gar	For	For
6:14	2	Ἐὰν	G1437	Ean	if	if
6:14	3	ἀφῆτε	G863	aphēte	you forgive	you forgive
6:14	4	τοῖς	G3588	tois	-	-
6:14	5	ἀνθρώποις	G444	anthrōpois	men	men
6:14	6	τὰ	G3588	ta	-	-
6:14	7	αὐτῶν	G846	autōn	their	their
6:14	8	παραπτώματα	G3900	paraptōmata	trespasses	trespasses
6:14	9	ὁ	G3588	ho	-	-
6:14	10	ὑμῶν	G4771	hymōn	your	your
6:14	11	ὁ	G3588	ho	-	-
6:14	12	οὐράνιος	G3770	ouranios	heavenly	heavenly
6:14	13	Πατὴρ	G3962	Patēr	Father	Father
6:14	14	ἀφήσει	G863	aphēsei	will also forgive	will also forgive
6:14	15	καὶ	G2532	kai	. . .	. . .
6:14	16	ὑμῖν	G4771	hymin	you	you
6:15	1	δὲ	G1161	de	But	But
6:15	2	ἐὰν	G1437	ean	if	if
6:15	3	ἀφῆτε	G863	aphēte	you do not forgive	you do not forgive
6:15	4	μὴ	G3361	mē	. . .	. . .
6:15	5	τοῖς	G3588	tois	-	-
6:15	6	ἀνθρώποις	G444	anthrōpois	men	men
6:15	7	τὰ	G3588	ta	-	-
6:15	8	αὐτῶν	G846	autōn	their	their
6:15	9	παραπτώματα	G3900	paraptōmata	trespasses	trespasses
6:15	10	οὐδὲ	G3761	oude	neither	neither
6:15	11	ὁ	G3588	ho	{will}	{will}
6:15	12	ὑμῶν	G4771	hymōn	your	your
6:15	13	Πατὴρ	G3962	Patēr	Father	Father
6:15	14	ἀφήσει	G863	aphēsei	forgive	forgive
6:15	15	τὰ	G3588	ta	-	-
6:15	16	ὑμῶν	G4771	hymōn	yours	yours
6:15	17	παραπτώματα	G3900	paraptōmata	. . .	. . .
6:16	1	δὲ	G1161	de	-	-
6:16	2	Ὅταν	G3752	Hotan	When	When
6:16	3	νηστεύητε	G3522	nēsteuēte	you fast	you fast
6:16	4	μὴ	G3361	mē	[do] not	[do] not
6:16	5	γίνεσθε	G1096	ginesthe	be	be
6:16	6	σκυθρωποί	G4659	skythrōpoi	somber	somber
6:16	7	ὡς	G5613	hōs	like	like
6:16	8	οἱ	G3588	hoi	the	the
6:16	9	ὑποκριταὶ	G5273	hypokritai	hypocrites	hypocrites
6:16	10	γὰρ	G1063	gar	for	for
6:16	11	ἀφανίζουσιν	G853	aphanizousin	they disfigure	they disfigure
6:16	12	τὰ	G3588	ta	-	-
6:16	13	αὐτῶν	G846	autōn	their	their
6:16	14	πρόσωπα	G4383	prosōpa	faces	faces
6:16	15	ὅπως	G3704	hopōs	vvv	vvv
6:16	16	φανῶσιν	G5316	phanōsin	to show	to show
6:16	17	τοῖς	G3588	tois	-	-
6:16	18	ἀνθρώποις	G444	anthrōpois	men	men
6:16	19	νηστεύοντες	G3522	nēsteuontes	they are fasting	they are fasting
6:16	20	ἀμὴν	G281	amēn	Truly	Truly
6:16	21	λέγω	G3004	legō	I tell	I tell
6:16	22	ὑμῖν	G4771	hymin	you	you
6:16	23	ἀπέχουσιν	G568	apechousin	they already have	they already have
6:16	24	τὸν	G3588	ton	-	-
6:16	25	αὐτῶν	G846	autōn	their	their
6:16	26	μισθὸν	G3408	misthon	full reward	full reward
6:17	1	δὲ	G1161	de	But	But
6:17	2	σὺ	G4771	sy	[when] you	[when] you
6:17	3	νηστεύων	G3522	nēsteuōn	fast	fast
6:17	4	ἄλειψαί	G218	aleipsai	anoint	anoint
6:17	5	σου	G4771	sou	your	your
6:17	6	τὴν	G3588	tēn	-	-
6:17	7	κεφαλὴν	G2776	kephalēn	head	head
6:17	8	καὶ	G2532	kai	and	and
6:17	9	νίψαι	G3538	nipsai	wash	wash
6:17	10	τὸ	G3588	to	-	-
6:17	11	σου	G4771	sou	your	your
6:17	12	πρόσωπόν	G4383	prosōpon	face	face
6:18	1	ὅπως	G3704	hopōs	so that	so that
6:18	2	νηστεύων	G3522	nēsteuōn	[your] fasting	[your] fasting
6:18	3	φανῇς	G5316	phanēs	will not be obvious	will not be obvious
6:18	4	μὴ	G3361	mē	. . .	. . .
6:18	5	τοῖς	G3588	tois	-	-
6:18	6	ἀνθρώποις	G444	anthrōpois	to men	to men
6:18	7	ἀλλὰ	G235	alla	but only	but only
6:18	8	τῷ	G3588	tō	to	to
6:18	9	σου	G4771	sou	your	your
6:18	10	Πατρί	G3962	Patri	Father	Father
6:18	11	τῷ	G3588	tō	who [is]	who [is]
6:18	12	ἐν	G1722	en	vvv	vvv
6:18	13	τῷ	G3588	tō	vvv	vvv
6:18	14	κρυφαίῳ	G2927	kryphaiō	unseen	unseen
6:18	15	καὶ	G2532	kai	And	And
6:18	16	ὁ	G3588	ho	-	-
6:18	17	σου	G4771	sou	your	your
6:18	18	Πατήρ	G3962	Patēr	Father	Father
6:18	19	ὁ	G3588	ho	who	who
6:18	20	βλέπων	G991	blepōn	sees	sees
6:18	21	ἐν	G1722	en	vvv	vvv
6:18	22	τῷ	G3588	tō	what is done	what is done
6:18	23	κρυφαίῳ	G2927	kryphaiō	in secret	in secret
6:18	24	ἀποδώσει	G591	apodōsei	will reward	will reward
6:18	25	σοι	G4771	soi	you	you
6:19	1	Μὴ	G3361	Mē	[Do] not	[Do] not
6:19	2	θησαυρίζετε	G2343	thēsaurizete	store up	store up
6:19	3	ὑμῖν	G4771	hymin	for yourselves	for yourselves
6:19	4	θησαυροὺς	G2344	thēsaurous	treasures	treasures
6:19	5	ἐπὶ	G1909	epi	on	on
6:19	6	τῆς	G3588	tēs	-	-
6:19	7	γῆς	G1093	gēs	earth	earth
6:19	8	ὅπου	G3699	hopou	where	where
6:19	9	σὴς	G4597	sēs	moth	moth
6:19	10	καὶ	G2532	kai	and	and
6:19	11	βρῶσις	G1035	brōsis	rust	rust
6:19	12	ἀφανίζει	G853	aphanizei	destroy	destroy
6:19	13	καὶ	G2532	kai	and	and
6:19	14	ὅπου	G3699	hopou	where	where
6:19	15	κλέπται	G2812	kleptai	thieves	thieves
6:19	16	διορύσσουσιν	G1358	dioryssousin	break in	break in
6:19	17	καὶ	G2532	kai	and	and
6:19	18	κλέπτουσιν	G2813	kleptousin	steal	steal
6:20	1	δὲ	G1161	de	But	But
6:20	2	θησαυρίζετε	G2343	thēsaurizete	store up	store up
6:20	3	ὑμῖν	G4771	hymin	for yourselves	for yourselves
6:20	4	θησαυροὺς	G2344	thēsaurous	treasures	treasures
6:20	5	ἐν	G1722	en	in	in
6:20	6	οὐρανῷ	G3772	ouranō	heaven	heaven
6:20	7	ὅπου	G3699	hopou	where	where
6:20	8	σὴς	G4597	sēs	moth	moth
6:20	9	οὔτε	G3777	oute	[and]	[and]
6:20	10	βρῶσις	G1035	brōsis	rust	rust
6:20	11	οὔτε	G3777	oute	vvv	vvv
6:20	12	ἀφανίζει	G853	aphanizei	do not destroy	do not destroy
6:20	13	καὶ	G2532	kai	and	and
6:20	14	οὐ	G3756	ou	. . .	. . .
6:20	15	ὅπου	G3699	hopou	where	where
6:20	16	κλέπται	G2812	kleptai	thieves	thieves
6:20	17	διορύσσουσιν	G1358	dioryssousin	do not break in	do not break in
6:20	18	οὐδὲ	G3761	oude	. . .	. . .
6:20	19	κλέπτουσιν	G2813	kleptousin	[and] steal	[and] steal
6:21	1	γάρ	G1063	gar	For	For
6:21	2	ὅπου	G3699	hopou	where	where
6:21	3	ὁ	G3588	ho	-	-
6:21	4	σου	G4771	sou	your	your
6:21	5	θησαυρός	G2344	thēsauros	treasure	treasure
6:21	6	ἐστιν	G1510	estin	is	is
6:21	7	ἐκεῖ	G1563	ekei	there	there
6:21	8	ἡ	G3588	hē	-	-
6:21	9	σου	G4771	sou	your	your
6:21	10	καρδία	G2588	kardia	heart	heart
6:21	11	ἔσται	G1510	estai	will be	will be
6:21	12	καὶ	G2532	kai	also	also
6:22	1	ὁ	G3588	ho	The	The
6:22	2	ὀφθαλμός	G3788	ophthalmos	eye	eye
6:22	3	ἐστιν	G1510	estin	is	is
6:22	4	Ὁ	G3588	Ho	the	the
6:22	5	λύχνος	G3088	lychnos	lamp	lamp
6:22	6	τοῦ	G3588	tou	of the	of the
6:22	7	σώματός	G4983	sōmatos	body	body
6:22	8	οὖν	G3767	oun	-	-
6:22	9	ἐὰν	G1437	ean	If	If
6:22	10	ὁ	G3588	ho	-	-
6:22	11	σου	G4771	sou	your	your
6:22	12	ὀφθαλμός	G3788	ophthalmos	eyes	eyes
6:22	13	ᾖ	G1510	ē	are	are
6:22	14	ἁπλοῦς	G573	haplous	good	good
6:22	15	τὸ	G3588	to	-	-
6:22	16	σου	G4771	sou	your	your
6:22	17	ὅλον	G3650	holon	whole	whole
6:22	18	σῶμά	G4983	sōma	body	body
6:22	19	ἔσται	G1510	estai	will be	will be
6:22	20	φωτεινὸν	G5460	phōteinon	full of light	full of light
6:23	1	δὲ	G1161	de	But	But
6:23	2	ἐὰν	G1437	ean	if	if
6:23	3	ὁ	G3588	ho	-	-
6:23	4	σου	G4771	sou	your	your
6:23	5	ὀφθαλμός	G3788	ophthalmos	eyes	eyes
6:23	6	ᾖ	G1510	ē	are	are
6:23	7	πονηρὸς	G4190	ponēros	bad	bad
6:23	8	σου	G4771	sou	your	your
6:23	9	ὅλον	G3650	holon	whole	whole
6:23	10	τὸ	G3588	to	-	-
6:23	11	σῶμά	G4983	sōma	body	body
6:23	12	ἔσται	G1510	estai	will be	will be
6:23	13	σκοτεινὸν	G4652	skoteinon	full of darkness	full of darkness
6:23	14	εἰ	G1487	ei	If	If
6:23	15	οὖν	G3767	oun	then	then
6:23	16	τὸ	G3588	to	the	the
6:23	17	φῶς	G5457	phōs	light	light
6:23	18	τὸ	G3588	to	-	-
6:23	19	ἐν	G1722	en	within	within
6:23	20	σοὶ	G4771	soi	you	you
6:23	21	ἐστίν	G1510	estin	is	is
6:23	22	σκότος	G4655	skotos	darkness	darkness
6:23	23	πόσον	G4214	poson	how great [is]	how great [is]
6:23	24	τὸ	G3588	to	that	that
6:23	25	σκότος	G4655	skotos	darkness	darkness
6:24	1	Οὐδεὶς	G3762	Oudeis	No one	No one
6:24	2	δύναται	G1410	dynatai	can	can
6:24	3	δουλεύειν	G1398	douleuein	serve	serve
6:24	4	δυσὶ	G1417	dysi	two	two
6:24	5	κυρίοις	G2962	kyriois	masters	masters
6:24	6	γὰρ	G1063	gar	-	-
6:24	7	ἢ	G2228	ē	Either	Either
6:24	8	μισήσει	G3404	misēsei	he will hate	he will hate
6:24	9	τὸν	G3588	ton	the	the
6:24	10	ἕνα	G1520	hena	one	one
6:24	11	καὶ	G2532	kai	and	and
6:24	12	ἀγαπήσει	G25	agapēsei	love	love
6:24	13	τὸν	G3588	ton	the	the
6:24	14	ἕτερον	G2087	heteron	other	other
6:24	15	ἢ	G2228	ē	or	or
6:24	16	ἀνθέξεται	G472	anthexetai	he will be devoted to	he will be devoted to
6:24	17	ἑνὸς	G1520	henos	[the] one	[the] one
6:24	18	καὶ	G2532	kai	and	and
6:24	19	καταφρονήσει	G2706	kataphronēsei	despise	despise
6:24	20	τοῦ	G3588	tou	the	the
6:24	21	ἑτέρου	G2087	heterou	other	other
6:24	22	δύνασθε	G1410	dynasthe	You cannot	You cannot
6:24	23	οὐ	G3756	ou	. . .	. . .
6:24	24	δουλεύειν	G1398	douleuein	serve [both]	serve [both]
6:24	25	Θεῷ	G2316	Theō	God	God
6:24	26	καὶ	G2532	kai	and	and
6:24	27	μαμωνᾷ	G3126	mamōna	money	money
6:25	1	Διὰ	G1223	Dia	Therefore	Therefore
6:25	2	τοῦτο	G3778	touto	. . .	. . .
6:25	3	λέγω	G3004	legō	I tell	I tell
6:25	4	ὑμῖν	G4771	hymin	you	you
6:25	5	μὴ	G3361	mē	[do] not	[do] not
6:25	6	μεριμνᾶτε	G3309	merimnate	worry about	worry about
6:25	7	τῇ	G3588	tē	-	-
6:25	8	ὑμῶν	G4771	hymōn	your	your
6:25	9	ψυχῇ	G5590	psychē	life	life
6:25	10	τί	G5101	ti	what	what
